N-t75k11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,3923754,4093849,2.98476,4
N-t75k11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,4016678,4093849,3.76453,1
N-be75oi_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,2195044,2246534,0.258069,2
N-be75oi_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,2215692,2246534,0.378494,1
N-t59n11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,796978,825608,2.82562,3
N-t59n11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,804016,825608,3.41858,2
N-t70l11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,419344,436862,0.236361,4
N-t70l11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,421612,436862,0.407265,3
N-t70f11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,13169917,13586135,2.85004,3
N-t70f11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,13259736,13586135,3.07019,2
N-t59d11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,1403543,1462697,0.214624,4
N-t59d11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,1416059,1462697,0.269755,3
N-t65b11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,6215741,6453836,0.228581,3
N-t65b11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,6301044,6453836,0.29648,2
N-tiw56n54_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,808568,837945,0.184723,3
N-tiw56n54_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,814002,837945,0.237707,2
N-be75tot_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,29951338,30958609,2.24194,3
N-be75tot_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,30313717,30958609,3.6091,2
N-t70d11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,5939078,6174178,0.217554,3
