Algorithm Size Time Deviation
vnd_first_cw_TEI 150 9.979591 2.65762453832907
vnd_first_cw_TIE 150 8.100981 3.82220234217974
vnd_first_cw_TEI 250 125.65971 2.49148964131548
vnd_first_cw_TIE 250 101.59698 3.69107733591532
