N-t75k11xx_250,iter_best_exchange_random,250,iter,best,exchange,random,3945949,4093849,1.27727,3
N-t75k11xx_250,iter_best_insert_random,250,iter,best,insert,random,3865219,4093849,0.56709,5
N-t75k11xx_250,iter_best_transpose_random,250,iter,best,transpose,random,2693636,4093849,0.012246,34
N-t75k11xx_250,iter_first_exchange_random,250,iter,first,exchange,random,3984409,4093849,8.40448,2
N-t75k11xx_250,iter_first_insert_random,250,iter,first,insert,random,3890497,4093849,6.14701,4
N-t75k11xx_250,iter_first_transpose_random,250,iter,first,transpose,random,2679092,4093849,0.009756,34
N-t75k11xx_250,iter_best_exchange_cw,250,iter,best,exchange,cw,3920071,4093849,1.33898,4
N-t75k11xx_250,iter_best_insert_cw,250,iter,best,insert,cw,3895256,4093849,0.579332,4
N-t75k11xx_250,iter_best_transpose_cw,250,iter,best,transpose,cw,3225714,4093849,0.014177,21
N-t75k11xx_250,iter_first_exchange_cw,250,iter,first,exchange,cw,3994848,4093849,7.6094,2
N-t75k11xx_250,iter_first_insert_cw,250,iter,first,insert,cw,3846941,4093849,3.97453,6
N-t75k11xx_250,iter_first_transpose_cw,250,iter,first,transpose,cw,3212325,4093849,0.01117,21
N-be75oi_150,iter_best_exchange_random,150,iter,best,exchange,random,2193434,2246534,0.117784,2
N-be75oi_150,iter_best_insert_random,150,iter,best,insert,random,2163540,2246534,0.044024,3
N-be75oi_150,iter_best_transpose_random,150,iter,best,transpose,random,1368242,2246534,0.002524,39
N-be75oi_150,iter_first_exchange_random,150,iter,first,exchange,random,2213310,2246534,0.586537,1
N-be75oi_150,iter_first_insert_random,150,iter,first,insert,random,2171556,2246534,0.3612,3
N-be75oi_150,iter_first_transpose_random,150,iter,first,transpose,random,1394568,2246534,0.001879,37
N-be75oi_150,iter_best_exchange_cw,150,iter,best,exchange,cw,2194771,2246534,0.131524,2
N-be75oi_150,iter_best_insert_cw,150,iter,best,insert,cw,2150397,2246534,0.051435,4
N-be75oi_150,iter_best_transpose_cw,150,iter,best,transpose,cw,1871934,2246534,0.002802,16
N-be75oi_150,iter_first_exchange_cw,150,iter,first,exchange,cw,2208918,2246534,0.644135,1
N-be75oi_150,iter_first_insert_cw,150,iter,first,insert,cw,2165701,2246534,0.25478,3
N-be75oi_150,iter_first_transpose_cw,150,iter,first,transpose,cw,1850911,2246534,0.002124,17
N-t59n11xx_250,iter_best_exchange_random,250,iter,best,exchange,random,790342,825608,1.17592,4
N-t59n11xx_250,iter_best_insert_random,250,iter,best,insert,random,781319,825608,0.748148,5
N-t59n11xx_250,iter_best_transpose_random,250,iter,best,transpose,random,545460,825608,0.011344,33
N-t59n11xx_250,iter_first_exchange_random,250,iter,first,exchange,random,798300,825608,7.28289,3
