"MutationRate","Deviation"
0,1.69905182593983
0.1,1.47195133034776
0.2,1.37095962330211
0.3,1.33141882818365
0.4,1.44828328741707
0.5,1.45041276112412
0.7,1.35705526668565
0.9,1.36431342483987
1,1.40719977176914
